timestamp,Canary DNS Errors,Checkout Timeouts (Stable),Other
2026-05-20 03:50:00+00:00,0,20,0
2026-05-20 03:55:00+00:00,0,31,0
2026-05-20 04:00:00+00:00,0,33,0
2026-05-20 04:05:00+00:00,0,38,0
2026-05-20 04:10:00+00:00,0,27,0
2026-05-20 04:15:00+00:00,0,22,0
2026-05-20 04:20:00+00:00,0,31,0
2026-05-20 04:25:00+00:00,0,39,0
2026-05-20 04:30:00+00:00,0,31,0
2026-05-20 04:35:00+00:00,0,26,0
2026-05-20 04:40:00+00:00,0,20,0
2026-05-20 04:45:00+00:00,0,29,0
2026-05-20 04:50:00+00:00,0,30,0
2026-05-20 04:55:00+00:00,0,24,0
2026-05-20 05:00:00+00:00,0,31,0
2026-05-20 05:05:00+00:00,0,26,0
2026-05-20 05:10:00+00:00,0,36,0
2026-05-20 05:15:00+00:00,0,32,0
2026-05-20 05:20:00+00:00,0,21,0
2026-05-20 05:25:00+00:00,0,28,0
2026-05-20 05:30:00+00:00,0,28,0
2026-05-20 05:35:00+00:00,0,27,0
2026-05-20 05:40:00+00:00,0,24,0
2026-05-20 05:45:00+00:00,0,32,0
2026-05-20 05:50:00+00:00,0,33,0
2026-05-20 05:55:00+00:00,0,24,0
2026-05-20 06:00:00+00:00,0,18,0
2026-05-20 06:05:00+00:00,0,30,0
2026-05-20 06:10:00+00:00,0,25,0
2026-05-20 06:15:00+00:00,0,21,0
2026-05-20 06:20:00+00:00,0,26,0
2026-05-20 06:25:00+00:00,0,38,0
2026-05-20 06:30:00+00:00,0,23,0
2026-05-20 06:35:00+00:00,0,32,0
2026-05-20 06:40:00+00:00,0,25,0
2026-05-20 06:45:00+00:00,0,31,0
2026-05-20 06:50:00+00:00,0,31,0
2026-05-20 06:55:00+00:00,0,25,0
2026-05-20 07:00:00+00:00,0,26,2
2026-05-20 07:05:00+00:00,0,36,0
2026-05-20 07:10:00+00:00,0,26,4
2026-05-20 07:15:00+00:00,0,34,11
2026-05-20 07:20:00+00:00,0,33,0
2026-05-20 07:25:00+00:00,0,28,0
2026-05-20 07:30:00+00:00,0,33,0
2026-05-20 07:35:00+00:00,0,30,0
2026-05-20 07:40:00+00:00,0,26,0
2026-05-20 07:45:00+00:00,0,22,0
2026-05-20 07:50:00+00:00,0,32,0
2026-05-20 07:55:00+00:00,0,30,0
2026-05-20 08:00:00+00:00,0,24,0
2026-05-20 08:05:00+00:00,0,26,0
2026-05-20 08:10:00+00:00,0,29,0
2026-05-20 08:15:00+00:00,0,36,0
2026-05-20 08:20:00+00:00,0,27,0
2026-05-20 08:25:00+00:00,0,23,0
2026-05-20 08:30:00+00:00,0,27,0
2026-05-20 08:35:00+00:00,0,22,0
2026-05-20 08:40:00+00:00,0,22,0
2026-05-20 08:45:00+00:00,0,32,0
2026-05-20 08:50:00+00:00,0,33,0
2026-05-20 08:55:00+00:00,0,26,0
2026-05-20 09:00:00+00:00,0,33,0
2026-05-20 09:05:00+00:00,0,28,0
2026-05-20 09:10:00+00:00,0,22,0
2026-05-20 09:15:00+00:00,0,24,0
2026-05-20 09:20:00+00:00,0,32,0
2026-05-20 09:25:00+00:00,0,29,0
2026-05-20 09:30:00+00:00,0,19,0
2026-05-20 09:35:00+00:00,0,33,0
2026-05-20 09:40:00+00:00,0,22,0
2026-05-20 09:45:00+00:00,0,30,0
2026-05-20 09:50:00+00:00,0,25,0
